Cereal Name,Manufacturer,Calories,Protein (g)
Rep. George Miller,4,-21.30491438,16.90466357
Rep. Gerald Connolly,2,5.235399361,12.48260369
Rep. Gilbert Cisneros,5,8.764830981,-3.371891659
Rep. Glenn Grothman,6,21.3176606,-14.13692152
Rep. Glenn Thompson,1,4.205210717,-10.73844761
Rep. Gloria Negrete McLeod,4,-20.30775276,18.4117333
Rep. Grace Meng,2,8.202552186,11.68936242
Rep. Grace Napolitano,2,4.960706012,11.82546461
Rep. Greg Gianforte,6,15.56837309,-3.613666434
Rep. Greg Pence,2,10.8561323,18.22518082
Rep. Greg Stanton,5,8.746353684,-3.732841506
Rep. Greg Walden,1,4.002661892,-10.48786545
Rep. Gregg Harper,1,3.142311126,-14.56097816
Rep. Gregorio Sablan,2,42.90434128,12.89037846
Rep. Gregory Meeks,2,5.566872699,12.74789957
Rep. Gregory Murphy,2,11.38160571,23.03121165
Rep. Gregory Steube,2,11.50614686,19.71841695
Rep. Gus Bilirakis,1,3.977886828,-11.04901211
Rep. Guy Reschenthaler,2,10.84454888,18.90029468
Rep. Gwen Graham,3,27.25687139,20.05654245
Rep. Gwen Moore,2,4.31710673,11.158052
Rep. Hakeem Jeffries,2,7.112843001,11.6084757
Rep. Haley Stevens,5,8.716786981,-3.826107333
Rep. Hansen Clarke,4,-26.565151,16.2453137
Rep. Harley Rouda,5,8.886122454,-3.776141387
Rep. Harold “Hal” Rogers,1,3.831943912,-11.03631139
Rep. Heath Shuler,7,-35.47071397,-5.478917827
Rep. Henry “Hank” Johnson Jr.,2,4.732039369,11.39518346
Rep. Henry Cuellar,2,7.132097152,13.97295619
Rep. Henry Waxman,4,-21.46103427,17.69777955
Rep. Howard “Buck” McKeon,7,-33.64265947,-6.533248061
Rep. Howard Berman,4,-26.09054689,13.67797994
Rep. Howard Coble,7,-32.6294881,-6.830723152
Rep. Ileana Ros-Lehtinen,1,2.821655918,-15.54494482
Rep. Ilhan Omar,5,6.947584882,-4.281083242
Rep. Jack Bergman,6,16.52975699,-6.747605985
Rep. Jack Kingston,7,-33.40164529,-8.232384774
Rep. Jackie Speier,2,5.527850596,11.33447097
Rep. Jackie Walorski,1,8.236825405,-11.23684868
Rep. Jacky Rosen,2,13.15079016,24.0897141
Rep. Jahana Hayes,5,8.575209952,-3.941971027
Rep. Jaime Herrera Beutler,1,5.096301179,-11.50878345
Rep. James “Jim” Clyburn,2,5.085266893,12.71269167
Rep. James “Jim” Himes,2,5.355093871,12.38026229
Rep. James “Jim” Langevin,2,5.033216089,12.16987413
Rep. James “Jim” McGovern,2,4.716851613,11.64094258
Rep. James “Jim” Moran Jr.,4,-20.51004048,15.77725027
Rep. James Baird,2,10.01734123,18.34301482
Rep. James Comer,6,17.01201515,-8.099530009
Rep. James Lankford,7,-33.8929615,-6.849929048
Rep. James Renacci,1,2.983398183,-15.96214005
Rep. James Sensenbrenner Jr.,1,3.342080323,-12.84578028
Rep. Jamie Raskin,2,8.687205606,6.828271876
Rep. Janice “Jan” Schakowsky,2,4.453743743,11.81272673
Rep. Janice Hahn,3,-1.183025036,16.79149979
Rep. Jared Golden,5,9.688268124,-1.516210079
Rep. Jared Huffman,2,7.371523743,11.41818271
Rep. Jared Polis,3,3.750195557,19.62223236
Rep. Jason Altmire,4,-26.29004275,13.68219386
Rep. Jason Chaffetz,0,-2.372110718,-15.5346325
Rep. Jason Crow,5,8.708235846,-3.71624516
Rep. Jason Lewis,6,19.43221118,-17.67648595
Rep. Jason Smith,1,10.58230506,-11.90409491
Rep. Jay Inslee,4,-29.27086559,17.1578783
Rep. Jean Schmidt,7,-38.58448535,-9.836545991
Rep. Jeb Hensarling,1,3.450968683,-14.69755324
Rep. Jeff Denham,1,3.291469216,-15.43191943
Rep. Jeff Duncan,1,3.003537469,-13.47322904
Rep. Jeff Flake,7,-40.35029086,-12.64369639
Rep. Jeff Fortenberry,1,4.567867746,-10.71739591
Rep. Jeff Landry,7,-40.81930557,-14.10545572
Rep. Jeff Miller,0,-5.382427736,-14.47002664
Rep. Jefferson Van Drew,5,10.73372842,2.642718266
